,image,class_label
0,basketball_court/basketball_court_112.jpg,3
1,basketball_court/basketball_court_228.jpg,3
2,basketball_court/basketball_court_147.jpg,3
3,basketball_court/basketball_court_152.jpg,3
4,basketball_court/basketball_court_366.jpg,3
5,basketball_court/basketball_court_363.jpg,3
6,basketball_court/basketball_court_233.jpg,3
7,basketball_court/basketball_court_623.jpg,3
8,basketball_court/basketball_court_365.jpg,3
9,basketball_court/basketball_court_472.jpg,3
10,basketball_court/basketball_court_392.jpg,3
11,basketball_court/basketball_court_496.jpg,3
12,basketball_court/basketball_court_301.jpg,3
13,basketball_court/basketball_court_036.jpg,3
14,basketball_court/basketball_court_432.jpg,3
15,basketball_court/basketball_court_599.jpg,3
16,basketball_court/basketball_court_369.jpg,3
17,basketball_court/basketball_court_530.jpg,3
18,basketball_court/basketball_court_229.jpg,3
19,basketball_court/basketball_court_155.jpg,3
20,basketball_court/basketball_court_076.jpg,3
21,basketball_court/basketball_court_541.jpg,3
22,basketball_court/basketball_court_271.jpg,3
23,basketball_court/basketball_court_650.jpg,3
24,basketball_court/basketball_court_451.jpg,3
25,basketball_court/basketball_court_634.jpg,3
26,basketball_court/basketball_court_166.jpg,3
27,basketball_court/basketball_court_038.jpg,3
28,basketball_court/basketball_court_114.jpg,3
29,basketball_court/basketball_court_037.jpg,3
30,basketball_court/basketball_court_571.jpg,3
31,basketball_court/basketball_court_066.jpg,3
32,basketball_court/basketball_court_424.jpg,3
33,basketball_court/basketball_court_217.jpg,3
34,basketball_court/basketball_court_628.jpg,3
35,basketball_court/basketball_court_460.jpg,3
36,basketball_court/basketball_court_554.jpg,3
37,basketball_court/basketball_court_205.jpg,3
38,basketball_court/basketball_court_528.jpg,3
39,basketball_court/basketball_court_643.jpg,3
40,basketball_court/basketball_court_492.jpg,3
41,basketball_court/basketball_court_674.jpg,3
42,basketball_court/basketball_court_566.jpg,3
43,basketball_court/basketball_court_354.jpg,3
44,basketball_court/basketball_court_679.jpg,3
45,basketball_court/basketball_court_064.jpg,3
46,basketball_court/basketball_court_593.jpg,3
47,basketball_court/basketball_court_051.jpg,3
48,basketball_court/basketball_court_289.jpg,3
49,basketball_court/basketball_court_648.jpg,3
50,basketball_court/basketball_court_437.jpg,3
51,basketball_court/basketball_court_335.jpg,3
52,basketball_court/basketball_court_690.jpg,3
53,basketball_court/basketball_court_322.jpg,3
54,basketball_court/basketball_court_193.jpg,3
55,basketball_court/basketball_court_030.jpg,3
56,basketball_court/basketball_court_218.jpg,3
57,basketball_court/basketball_court_133.jpg,3
58,basketball_court/basketball_court_248.jpg,3
59,basketball_court/basketball_court_438.jpg,3
60,basketball_court/basketball_court_371.jpg,3
61,basketball_court/basketball_court_476.jpg,3
62,basketball_court/basketball_court_475.jpg,3
63,basketball_court/basketball_court_433.jpg,3
64,basketball_court/basketball_court_296.jpg,3
65,basketball_court/basketball_court_411.jpg,3
66,basketball_court/basketball_court_611.jpg,3
67,basketball_court/basketball_court_559.jpg,3
68,basketball_court/basketball_court_141.jpg,3
69,basketball_court/basketball_court_313.jpg,3
70,basketball_court/basketball_court_268.jpg,3
71,basketball_court/basketball_court_171.jpg,3
72,basketball_court/basketball_court_239.jpg,3
73,basketball_court/basketball_court_558.jpg,3
74,basketball_court/basketball_court_606.jpg,3
75,basketball_court/basketball_court_132.jpg,3
76,basketball_court/basketball_court_044.jpg,3
77,basketball_court/basketball_court_058.jpg,3
78,basketball_court/basketball_court_204.jpg,3
79,basketball_court/basketball_court_162.jpg,3
80,basketball_court/basketball_court_321.jpg,3
81,basketball_court/basketball_court_385.jpg,3
